Date;Gouvernorat;Production
2015;Gabès;15000.0
2015;Béja;22850.0
2015;Siliana;38250.0
2015;Nabeul;41000.0
2015;Kasserine;41850.0
2015;Zaghouan;43500.0
2015;Gafsa;47000.0
2015;Monastir;68700.0
2015;Sousse;95400.0
2015;Kairouan;152300.0
2015;Sidi Bouzid;177000.0
2015;Mahdia;193550.0
2015;Sfax;522000.0
2016;Tunis;2250.0
2016;Ariana;3780.0
2016;Tatouine;4240.0
2016;Ben Arous;11630.0
2016;Kef;12170.0
2016;Manouba;12500.0
2016;Jendouba;14100.0
2016;Mahdia;15960.0
2016;Gabès;22000.0
2016;Sousse;22140.0
2016;Bizerte;24690.0
2016;Kasserine;27030.0
2016;Siliana;30760.0
2016;Monastir;38440.0
2016;Zaghouan;39000.0
2016;Béja;42600.0
2016;Nabeul;43210.0
2016;Gafsa;49700.0
2016;Kairouan;49740.0
2016;Sfax;69500.0
2016;Sidi Bouzid;70030.0
2016;Medenine;87360.0
2017;Tatouine;1150.0
2017;Ariana;1170.0
2017;Tunis;2250.0
2017;Ben Arous;2670.0
2017;Manouba;5000.0
2017;Bizerte;6270.0
2017;Medenine;6530.0
2017;Monastir;7445.0
2017;Mahdia;10350.0
2017;Kef;10790.0
2017;Jendouba;11450.0
2017;Zaghouan;13270.0
2017;Gabès;15000.0
2017;Kasserine;15700.0
2017;Béja;18800.0
2017;Sousse;23140.0
2017;Nabeul;28500.0
2017;Siliana;41345.0
2017;Gafsa;47150.0
2017;Sfax;56000.0
2017;Sidi Bouzid;62540.0
2017;Kairouan;68250.0
